단어,뜻,다른 뜻
recduce,줄이다,감소시키다
step,단계,걸음을 내디디다
step-by-step,단계적인,
footstep,발자국,
strategy,전략,
region,지역 사회,
attract,끌다,유인하다
attractive,매력적인,
regular,정기적인,보통의
trade,무역,교환하다
commercial,상업의,광고
commerce,상업의,통상
reasonable,합리적인,가격이 합리적인
state,주,말하다
architect,건축가,
author,저자,작가
authorize,승인하다,권한을 주다
authority,당국,권위자
permit,허용하다,허가
press,언론,누르다
reach,도달하다,연락하다
outreach,봉사활동,
clear,분명한,치우다
clearance,정리,허가
clarify,분명히 하다,명확하게 하다
certificate,증명서,증서
certify,증명하다,
contain,포함하다,들어 있다
associate,동료,관련시키다
connect,연결하다,
connection,연결하다,연줄
disconnect,연결을 끊다,
manual,매뉴얼,사용 설명서
manually,손으로,수동으로
focus,초점,초점을 맞추다
retail,소매의,
candidate,후보자,지원자
condition,상태,조건
short,짧은,부족한
demonstrate,입증하다,시연하다
pracitce,연습,관행
pracical,실용적인,
surprisingly,놀랍게도,
qualify,자격을 주다,자격을 얻다
qualification,자격,
potential,잠재적인,잠재력
prior to,~에 앞서,~전에
priority,우선권,우선 사항
prior,이전의,사전의
stock,재고,갖추다
release,발표,발표하다
initial,처음의,초기의
initiative,주도권,새로운 계획
initiate,시작하다,
screen,화면,심사하다
responsible,책임이 있는,
impressive,인상적인,
impression,인상적인,
impressed,감명을 받은,깊은 인상을 받은
join,합류하다,입사하다
joint,합동의,공동의
shelf,선반,
brochure,브로슈어,소책자
agenda,의제,안건
section,부분,구역
sector,부문,분야
intersection,교차로,
communicate,의사소통하다,알리다
stand,서다,정류장
outstanding,뛰어난,탁월한
damage,피해,피해를 입히디
satisfy,만족시키다,충족시키다
satisfaction,만족시키다,
satisfactory,만족스러운,
real estate,부동산,
chef,주방장,요리사
suit,정장,적합하다
suitable,적합한,알맞은
suitcase,트렁크,여행 가방
cater,출장 뷔페를 제공하다,
degree,학위,온도
found,설립하다,
foundation,재단,토대
less,더 적은,
lessen,줄이다,감소시키다
deal,거래,상대하다
salary,급여,임금
environment,환경,
intend,~할 작정이다,의도하다
intent,의도,집중하는
reference,추천인,참고
refer,참고하다,언급하다
referral,소개,추천
attention,주의,관심
attentive,주의를 기울이느,세심한
